mail.ru,mail.ru/,Почта Mail.Ru,6880366,77
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,3031438,81
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,2691222,86
kp,kp.ru,Комсомольская правда-Digital,2314352,87
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,2147668,94
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,1897345,83
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1880431,86
mic_izvestia,iz.ru,Известия,1784673,88
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),1600478,89
Lenta,lenta.ru,Lenta.Ru,1472372,85
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1403896,84
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1299228,84
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",1245882,90
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1243988,80
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1207882,80
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1112381,88
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,1007469,74
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,864412,87
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,812135,84
gdz-raketa.ru,gdz-raketa.ru/,ГДЗ,810922,94
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,729360,83
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,695522,85
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,691952,76
hibiny.com,www.hibiny.com/,Хибины.ru,682511,63
RGRU,www.rg.ru,Российская Газета: издание Правительства РФ,653367,90
news.ru,news.ru/,NEWS.ru ─ Информационный портал,647816,70
life.ru,life.ru/,LIFE.RU — последние новости России и мира,646809,81
russian.rt.com,russian.rt.com/,RT на русском,620249,88
Sportbox,www.sportbox.ru,Sportbox.ru,602493,82
regnum,regnum.ru,ИА Регнум,598445,94
mail.ru,mail.ru/,Почта Mail.Ru,6880366,77
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,3031438,81
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,2691222,86
kp,kp.ru,Комсомольская правда-Digital,2314352,87
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,2147668,94
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,1897345,83
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1880431,86
mic_izvestia,iz.ru,Известия,1784673,88
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),1600478,89
Lenta,lenta.ru,Lenta.Ru,1472372,85
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1403896,84
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1299228,84
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",1245882,90
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1243988,80
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1207882,80
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1112381,88
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,1007469,74
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,864412,87
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,812135,84
gdz-raketa.ru,gdz-raketa.ru/,ГДЗ,810922,94
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,729360,83
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,695522,85
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,691952,76
hibiny.com,www.hibiny.com/,Хибины.ru,682511,63
RGRU,www.rg.ru,Российская Газета: издание Правительства РФ,653367,90
news.ru,news.ru/,NEWS.ru ─ Информационный портал,647816,70
life.ru,life.ru/,LIFE.RU — последние новости России и мира,646809,81
russian.rt.com,russian.rt.com/,RT на русском,620249,88
Sportbox,www.sportbox.ru,Sportbox.ru,602493,82
regnum,regnum.ru,ИА Регнум,598445,94
